Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
28.08,0.04,5.98,100,97.81,Weekend,Saturday,Medium_Load
58.46,25.67,0,91.56,100,Weekday,Tuesday,Maximum_Load
2.92,2.16,0.14,80.39,99.89,Weekday,Wednesday,Light_Load
114.19,68.08,0,85.89,100,Weekday,Friday,Light_Load
20.66,1.08,3.17,99.86,98.84,Weekend,Sunday,Maximum_Load
2.59,4.1,0,53.41,100,Weekday,Wednesday,Light_Load
103.46,28.87,0,96.32,100,Weekday,Friday,Medium_Load
98.35,67.97,0,82.27,100,Weekday,Friday,Light_Load
2.7,4.82,0,48.87,100,Weekday,Monday,Light_Load
37.01,29.45,0,78.25,100,Weekday,Friday,Light_Load
3.56,2.16,0.47,85.49,99.14,Weekday,Tuesday,Light_Load
2.81,3.78,0,59.66,100,Weekend,Sunday,Light_Load
32.44,33.88,0,69.16,100,Weekday,Tuesday,Light_Load
3.82,3.71,0,71.74,100,Weekday,Monday,Light_Load
2.77,1.98,0.18,81.35,99.79,Weekend,Saturday,Light_Load
40,5.08,0.22,99.2,100,Weekday,Friday,Medium_Load
50.98,29.63,1.4,86.46,99.96,Weekday,Monday,Maximum_Load
5.4,0,26.68,100,19.84,Weekday,Wednesday,Medium_Load
34.38,37.84,0,67.25,100,Weekday,Friday,Light_Load
84.92,43.34,0,89.07,100,Weekday,Monday,Medium_Load
3.74,4.36,0,65.11,100,Weekend,Saturday,Light_Load
3.17,4.46,0,57.93,100,Weekday,Friday,Light_Load
4.68,4.9,0,69.07,100,Weekend,Saturday,Maximum_Load
2.77,5.15,0,47.37,100,Weekday,Monday,Light_Load
2.88,5.83,0,44.29,100,Weekday,Friday,Light_Load
3.56,0,18.14,100,19.26,Weekend,Saturday,Medium_Load
34.6,0.07,4.36,100,99.22,Weekend,Saturday,Medium_Load
3.64,0,17.35,100,20.53,Weekday,Tuesday,Medium_Load
3.06,5.4,0,49.3,100,Weekend,Sunday,Light_Load
2.63,5.26,0,44.72,100,Weekday,Monday,Light_Load
3.92,0,18.58,100,20.64,Weekend,Sunday,Light_Load
2.92,4.54,0,54.09,100,Weekend,Sunday,Maximum_Load
9.58,0,26.21,100,34.33,Weekday,Monday,Medium_Load
3.06,3.96,0,61.14,100,Weekday,Thursday,Light_Load
24.3,0.72,9.47,99.96,93.17,Weekday,Tuesday,Maximum_Load
3.74,0,16.52,100,22.08,Weekday,Friday,Medium_Load
92.52,52.16,0,87.11,100,Weekday,Friday,Medium_Load
2.63,5.22,0,44.99,100,Weekend,Saturday,Light_Load
2.84,5.94,0,43.13,100,Weekday,Friday,Light_Load
2.63,3.71,0,57.83,100,Weekend,Sunday,Light_Load
3.82,0,18.04,100,20.72,Weekend,Saturday,Maximum_Load
51.48,22.57,0,91.58,100,Weekday,Wednesday,Maximum_Load
32.22,6.37,0.14,98.1,100,Weekday,Thursday,Medium_Load
48.67,29.99,0,85.14,100,Weekend,Saturday,Maximum_Load
6.34,0,19.3,100,31.21,Weekday,Tuesday,Medium_Load
2.95,4.28,0,56.75,100,Weekend,Saturday,Light_Load
2.66,3.74,0,57.96,100,Weekday,Monday,Light_Load
63.83,45.14,0,81.65,100,Weekday,Tuesday,Maximum_Load
76.61,30.2,0,93.03,100,Weekday,Monday,Medium_Load
2.95,0,12.71,100,22.61,Weekend,Sunday,Light_Load
2.92,5.08,0,49.83,100,Weekday,Monday,Light_Load
2.99,6.08,0,44.13,100,Weekday,Tuesday,Light_Load
3.31,0,13.03,100,24.62,Weekday,Tuesday,Medium_Load
38.09,6.08,0,98.75,100,Weekday,Friday,Maximum_Load
3.6,0,15.73,100,22.31,Weekend,Sunday,Light_Load
3.89,0,21.85,100,17.53,Weekend,Saturday,Light_Load
3.53,4.57,0,61.13,100,Weekday,Monday,Light_Load
99.43,42.73,0,91.88,100,Weekday,Friday,Maximum_Load
47.92,46.04,0,72.11,100,Weekday,Monday,Maximum_Load
3.31,3.78,0,65.88,100,Weekend,Sunday,Light_Load
3.2,5.62,0,49.48,100,Weekday,Monday,Light_Load
28.04,25.49,0,74,100,Weekday,Thursday,Light_Load
4.14,4.03,0,71.66,100,Weekend,Sunday,Light_Load
3.78,5,0,60.31,100,Weekday,Tuesday,Light_Load
2.66,3.78,0,57.55,100,Weekday,Wednesday,Light_Load
117.43,51.3,0,91.64,100,Weekday,Monday,Maximum_Load
4,3.13,0.22,78.75,99.85,Weekday,Thursday,Light_Load
56.56,31,0,87.69,100,Weekday,Friday,Maximum_Load
4.79,0,17.75,100,26.05,Weekend,Saturday,Light_Load
3.64,6.41,0,49.38,100,Weekday,Monday,Light_Load
3.31,4.32,0,60.82,100,Weekday,Monday,Light_Load
3.6,2.92,0.11,77.66,99.95,Weekend,Saturday,Light_Load
2.88,4.79,0,51.53,100,Weekend,Sunday,Light_Load
4.61,6.88,0,55.66,100,Weekday,Friday,Medium_Load
3.02,4.79,0,53.33,100,Weekday,Thursday,Light_Load
106.96,47.27,0,91.47,100,Weekday,Thursday,Maximum_Load
63.94,34.7,0,87.89,100,Weekday,Wednesday,Medium_Load
114.23,46.91,0,92.5,100,Weekday,Friday,Maximum_Load
56.23,54.47,0,71.83,100,Weekday,Wednesday,Light_Load
10.26,0,22.1,100,42.11,Weekday,Friday,Medium_Load
5.83,0,25.85,100,22,Weekend,Sunday,Light_Load
3.35,5.54,0,51.74,100,Weekday,Monday,Light_Load
4.14,6.59,0,53.2,100,Weekday,Friday,Medium_Load
84.92,12.64,0,98.91,100,Weekday,Monday,Medium_Load
28.44,0.04,9.94,100,94.4,Weekend,Saturday,Medium_Load
2.81,4.9,0,49.75,100,Weekday,Wednesday,Light_Load
53.21,45.29,0,76.15,100,Weekday,Tuesday,Maximum_Load
46.12,19.87,1.55,91.84,99.94,Weekday,Monday,Maximum_Load
29.3,0.04,8.82,100,95.76,Weekend,Saturday,Maximum_Load
4.43,0,26.78,100,16.32,Weekday,Wednesday,Medium_Load
7.63,0.07,26.46,100,27.71,Weekday,Thursday,Medium_Load
3.85,0,26.68,100,14.28,Weekday,Wednesday,Medium_Load
50.29,27.14,0,88,100,Weekday,Friday,Medium_Load
33.77,4.54,1.12,99.11,99.95,Weekday,Wednesday,Maximum_Load
3.78,3.02,0.22,78.13,99.83,Weekday,Thursday,Maximum_Load
3.17,5.18,0,52.2,100,Weekday,Thursday,Light_Load
2.99,0,4.54,100,55,Weekday,Monday,Light_Load
3.74,6.66,0,48.96,100,Weekday,Wednesday,Light_Load
2.92,0,17.21,100,16.73,Weekend,Saturday,Medium_Load
4.57,0,26.71,100,16.86,Weekend,Saturday,Light_Load
3.38,2.95,0,75.34,100,Weekend,Saturday,Light_Load
4.75,0,18.43,100,24.96,Weekday,Friday,Medium_Load
108.29,50.51,0,90.63,100,Weekday,Friday,Maximum_Load
4.1,0,16.99,100,23.46,Weekend,Saturday,Light_Load
2.84,4.72,0,51.56,100,Weekend,Saturday,Light_Load
2.88,4.18,0,56.74,100,Weekday,Tuesday,Light_Load
54.94,12.64,0,97.45,100,Weekday,Thursday,Maximum_Load
2.48,3.92,0,53.46,100,Weekend,Saturday,Light_Load
3.17,1.98,0.32,84.81,99.49,Weekday,Wednesday,Light_Load
3.02,3.71,0,63.13,100,Weekday,Tuesday,Light_Load
94.54,28.12,0,95.85,100,Weekday,Tuesday,Maximum_Load
120.17,35.03,0,96,100,Weekday,Friday,Medium_Load
3.28,3.82,0,65.14,100,Weekend,Sunday,Light_Load
56.48,30.67,0,87.88,100,Weekday,Monday,Maximum_Load
3.42,5.58,0,52.26,100,Weekday,Thursday,Light_Load
40.28,15.26,0.11,93.51,100,Weekday,Friday,Medium_Load
2.7,5.04,0,47.22,100,Weekend,Saturday,Light_Load
2.95,4.72,0,53,100,Weekday,Wednesday,Light_Load
3.6,3.82,0,68.58,100,Weekday,Tuesday,Light_Load
57.06,26.14,0,90.91,100,Weekday,Monday,Maximum_Load
3.74,2.92,0.04,78.82,99.99,Weekday,Tuesday,Light_Load
9.29,1.12,13.64,99.28,56.29,Weekday,Friday,Medium_Load
3.2,5.94,0,47.43,100,Weekday,Friday,Light_Load
25.7,0.11,8.5,100,94.94,Weekend,Saturday,Maximum_Load
3.35,0,17.42,100,18.88,Weekend,Sunday,Light_Load
29.99,0.65,4.64,99.98,98.82,Weekday,Tuesday,Medium_Load
56.92,22.28,0,93.12,100,Weekday,Thursday,Medium_Load
3.71,7.56,0,44.06,100,Weekend,Saturday,Light_Load
85.07,33.05,0,93.21,100,Weekday,Monday,Maximum_Load
3.06,4,0,60.76,100,Weekday,Tuesday,Light_Load
96.52,32.4,0,94.8,100,Weekday,Wednesday,Medium_Load
2.84,4.82,0,50.76,100,Weekend,Sunday,Light_Load
43.49,23.87,0,87.66,100,Weekend,Saturday,Medium_Load
3.74,0,25.13,100,14.72,Weekend,Saturday,Medium_Load
3.74,0,24.8,100,14.91,Weekday,Monday,Medium_Load
61.85,39.1,0,84.53,100,Weekday,Thursday,Medium_Load
73.01,48.82,0,83.13,100,Weekday,Friday,Light_Load
3.13,0,14.62,100,20.93,Weekend,Sunday,Light_Load
3.67,4.68,0,61.71,100,Weekday,Thursday,Light_Load
39.13,20.99,0,88.12,100,Weekday,Monday,Maximum_Load
3.2,3.24,0,70.27,100,Weekday,Wednesday,Light_Load
3.06,4.36,0,57.45,100,Weekday,Monday,Light_Load
4.39,5.83,0,60.15,100,Weekday,Friday,Light_Load
29.56,0.07,4.32,100,98.95,Weekday,Wednesday,Medium_Load
3.89,0,16.02,100,23.6,Weekday,Thursday,Medium_Load
26.35,22.5,0,76.05,100,Weekday,Tuesday,Light_Load
146.34,66.92,0,90.94,100,Weekday,Friday,Medium_Load
2.88,4.36,0,55.12,100,Weekday,Thursday,Light_Load
3.64,0,17.14,100,20.77,Weekday,Wednesday,Medium_Load
3.06,0,16.31,100,18.44,Weekend,Sunday,Light_Load
3.64,6.55,0,48.58,100,Weekday,Thursday,Light_Load
2.81,4.18,0,55.79,100,Weekday,Monday,Light_Load
3.46,5.65,0,52.22,100,Weekday,Tuesday,Light_Load
3.42,3.89,0,66.03,100,Weekday,Thursday,Light_Load
143.78,64.3,0,91.29,100,Weekday,Monday,Maximum_Load
53.68,24.3,0,91.1,100,Weekday,Thursday,Maximum_Load
44.24,13.46,0,95.67,100,Weekday,Monday,Maximum_Load
4.68,7.02,0,55.47,100,Weekday,Monday,Light_Load
115.49,48.31,0,92.25,100,Weekday,Monday,Medium_Load
37.12,2.66,4.5,99.74,99.27,Weekday,Thursday,Maximum_Load
119.59,52.63,0,91.53,100,Weekday,Wednesday,Maximum_Load
32.15,1.58,1.62,99.88,99.87,Weekend,Sunday,Maximum_Load
3.67,3.53,0,72.07,100,Weekday,Friday,Light_Load
50.4,40.75,0,77.76,100,Weekday,Thursday,Medium_Load
3.1,2.3,0,80.31,100,Weekday,Monday,Light_Load
2.66,5,0,46.97,100,Weekday,Wednesday,Light_Load
3.42,4.46,0,60.85,100,Weekday,Thursday,Light_Load
43.74,23.08,0,88.44,100,Weekend,Saturday,Medium_Load
3.1,0,10.66,100,27.92,Weekend,Saturday,Medium_Load
5.29,0.54,5.87,99.48,66.95,Weekday,Thursday,Medium_Load
49.03,13.28,0,96.52,100,Weekday,Wednesday,Maximum_Load
3.1,4.5,0,56.73,100,Weekday,Monday,Light_Load
83.66,43.06,0,88.91,100,Weekday,Friday,Maximum_Load
3.46,0,18.72,100,18.18,Weekend,Sunday,Light_Load
61.2,30.96,0,89.23,100,Weekday,Wednesday,Medium_Load
2.77,4.72,0,50.61,100,Weekday,Thursday,Light_Load
6.3,0.22,15.62,99.94,37.41,Weekday,Thursday,Medium_Load
32.58,4.97,0,98.86,100,Weekend,Sunday,Maximum_Load
2.92,4.9,0,51.19,100,Weekday,Wednesday,Light_Load
3.49,5.08,0,56.63,100,Weekday,Monday,Medium_Load
4.1,0,17.5,100,22.81,Weekend,Sunday,Light_Load
3.71,6.73,0,48.28,100,Weekday,Thursday,Light_Load
3.56,0,14.18,100,24.35,Weekend,Sunday,Light_Load
8.03,6.88,0,75.94,100,Weekday,Friday,Light_Load
3.2,0,17.75,100,17.74,Weekend,Sunday,Light_Load
4.07,3.85,0,72.65,100,Weekday,Monday,Light_Load
3.64,4.75,0,60.83,100,Weekend,Saturday,Light_Load
3.35,4.61,0,58.79,100,Weekday,Friday,Light_Load
5.54,0,21.46,100,25,Weekday,Friday,Medium_Load
70.81,51.95,0,80.63,100,Weekday,Wednesday,Light_Load
5.08,0,17.46,100,27.94,Weekday,Friday,Maximum_Load
73.19,60.3,0,77.18,100,Weekday,Wednesday,Light_Load
2.92,4.79,0,52.05,100,Weekday,Monday,Light_Load
66.13,30.38,0,90.87,100,Weekday,Friday,Medium_Load
3.06,3.78,0,62.92,100,Weekend,Sunday,Light_Load
3.89,5.69,0,56.44,100,Weekday,Thursday,Light_Load
31.28,20.99,0,83.04,100,Weekday,Wednesday,Light_Load
44.39,22.03,1.66,89.58,99.93,Weekday,Tuesday,Medium_Load
2.84,4.03,0,57.6,100,Weekend,Sunday,Light_Load
37.04,15.01,0,92.68,100,Weekday,Thursday,Maximum_Load
70.7,38.48,0,87.83,100,Weekday,Thursday,Medium_Load
63.4,20.38,0,95.2,100,Weekday,Friday,Medium_Load
82.04,42.77,0,88.67,100,Weekday,Monday,Medium_Load
58.72,28.15,0,90.17,100,Weekday,Monday,Medium_Load
59.69,22.54,0,93.55,100,Weekday,Monday,Medium_Load
2.92,5.4,0,47.57,100,Weekday,Friday,Light_Load
5.22,0,26.42,100,19.38,Weekend,Saturday,Medium_Load
4.64,4.57,0,71.25,100,Weekday,Wednesday,Light_Load
33.62,17.71,2.02,88.48,99.82,Weekday,Tuesday,Medium_Load
50.62,13.57,0.07,96.59,100,Weekday,Monday,Medium_Load
80.96,26.14,0,95.16,100,Weekday,Wednesday,Maximum_Load
3.67,6.95,0,46.7,100,Weekday,Wednesday,Light_Load
3.02,5.8,0,46.18,100,Weekday,Friday,Light_Load
9.61,0,25.67,100,35.06,Weekday,Tuesday,Medium_Load
4.03,4.32,0,68.21,100,Weekend,Sunday,Light_Load
3.17,4.1,0,61.17,100,Weekend,Saturday,Light_Load
2.77,3.92,0,57.71,100,Weekday,Monday,Light_Load
74.66,33.08,0,91.43,100,Weekday,Monday,Medium_Load
2.81,0,5.22,100,47.4,Weekend,Sunday,Light_Load
2.52,4.57,0,48.29,100,Weekend,Sunday,Light_Load
12.28,0,21.2,100,50.12,Weekday,Thursday,Medium_Load
95.69,28.73,0,95.78,100,Weekday,Tuesday,Maximum_Load
2.74,4.9,0,48.81,100,Weekend,Sunday,Light_Load
109.01,54.58,0,89.42,100,Weekday,Thursday,Maximum_Load
2.74,5.11,0,47.26,100,Weekday,Wednesday,Light_Load
3.17,4.75,0,55.51,100,Weekend,Saturday,Light_Load
5.83,0.04,16.45,100,33.4,Weekend,Saturday,Maximum_Load
55.19,38.3,0,82.16,100,Weekday,Friday,Maximum_Load
89.35,11.34,0,99.2,100,Weekend,Saturday,Maximum_Load
3.1,0,16.99,100,17.95,Weekend,Sunday,Light_Load
5.62,0,18.94,100,28.45,Weekend,Sunday,Medium_Load
5.4,5.58,0,69.54,100,Weekday,Thursday,Light_Load
109.66,32.98,0,95.76,100,Weekday,Wednesday,Medium_Load
3.13,7.06,0,40.53,100,Weekday,Wednesday,Light_Load
3.71,5.04,0,59.28,100,Weekday,Wednesday,Medium_Load
2.88,4.93,0,50.44,100,Weekend,Saturday,Light_Load
105.08,31.82,0,95.71,100,Weekday,Wednesday,Light_Load
8.21,0,26.32,100,29.78,Weekday,Tuesday,Medium_Load
55.51,30.06,0,87.93,100,Weekday,Monday,Maximum_Load
3.78,6.52,0,50.16,100,Weekday,Tuesday,Light_Load
5.98,0,14.47,100,38.19,Weekday,Wednesday,Medium_Load
2.74,5.4,0.11,45.25,99.92,Weekend,Sunday,Light_Load
3.85,0,18.97,100,19.89,Weekday,Wednesday,Medium_Load
3.42,4.64,0,59.33,100,Weekday,Monday,Light_Load
2.95,0,11.92,100,24.02,Weekend,Sunday,Light_Load
3.02,5.04,0,51.4,100,Weekend,Saturday,Light_Load
5.36,0,25.85,100,20.3,Weekday,Monday,Medium_Load
2.81,4.21,0,55.52,100,Weekend,Sunday,Light_Load
54.54,26.68,0,89.83,100,Weekday,Wednesday,Maximum_Load
3.1,3.74,0,63.82,100,Weekday,Monday,Light_Load
39.49,29.7,0,79.92,100,Weekday,Monday,Light_Load
2.81,4.86,0,50.05,100,Weekend,Sunday,Light_Load
84.56,42.91,0,89.18,100,Weekday,Thursday,Medium_Load
2.95,4.14,0,58.03,100,Weekday,Thursday,Light_Load
66.64,36.43,0,87.74,100,Weekday,Monday,Maximum_Load
3.42,3.78,0,67.09,100,Weekday,Thursday,Light_Load
4.18,0,26.89,100,15.36,Weekend,Saturday,Medium_Load
41.83,13.82,0.29,94.95,100,Weekday,Tuesday,Maximum_Load
3.89,0,11.16,100,32.91,Weekday,Thursday,Maximum_Load
4.82,5.08,0,68.83,100,Weekend,Saturday,Light_Load
2.74,4.18,0,54.82,100,Weekend,Sunday,Light_Load
5.83,5.04,0,75.65,100,Weekday,Wednesday,Light_Load
53.75,36.4,0,82.8,100,Weekday,Tuesday,Maximum_Load
53.5,24.62,0,90.84,100,Weekend,Saturday,Maximum_Load
2.81,4.54,0,52.63,100,Weekend,Saturday,Light_Load
5.44,2.52,0.04,90.74,100,Weekday,Friday,Light_Load
11.23,0,24.59,100,41.54,Weekday,Thursday,Medium_Load
87.7,28.55,0,95.09,100,Weekday,Friday,Maximum_Load
66.42,63.25,0,72.42,100,Weekday,Tuesday,Maximum_Load
3.17,0,18.29,100,17.08,Weekend,Saturday,Light_Load
52.67,20.23,0,93.35,100,Weekday,Monday,Maximum_Load
4,0,15.37,100,25.19,Weekday,Tuesday,Medium_Load
41.15,14.18,0.5,94.54,99.99,Weekday,Monday,Medium_Load
2.63,4,0,54.94,100,Weekday,Thursday,Light_Load
5.33,0,22.32,100,23.23,Weekday,Wednesday,Medium_Load
3.71,0,23.54,100,15.57,Weekday,Thursday,Medium_Load
8.17,9.65,0,64.62,100,Weekday,Wednesday,Light_Load
3.31,4.21,0,61.81,100,Weekday,Wednesday,Light_Load
3.02,0,17.1,100,17.39,Weekend,Saturday,Medium_Load
4.1,0,20.34,100,19.76,Weekend,Saturday,Light_Load
59.26,32.26,0,87.83,100,Weekday,Monday,Maximum_Load
89.68,58.18,0,83.89,100,Weekday,Friday,Maximum_Load
61.56,50.9,0,77.07,100,Weekday,Wednesday,Light_Load
63.76,37.26,0,86.34,100,Weekday,Friday,Light_Load
2.95,5.76,0,45.58,100,Weekday,Friday,Light_Load
2.99,5.51,0,47.7,100,Weekday,Tuesday,Light_Load
49.07,15.59,0.04,95.31,100,Weekday,Monday,Maximum_Load
2.99,5.4,0,48.44,100,Weekday,Friday,Light_Load
84.56,33.62,0,92.92,100,Weekend,Saturday,Maximum_Load
20.66,0.65,13.72,99.95,83.3,Weekday,Thursday,Medium_Load
43.63,8.64,2.02,98.1,99.89,Weekday,Tuesday,Medium_Load
2.66,5.15,0,45.89,100,Weekday,Friday,Light_Load
3.24,0,16.7,100,19.05,Weekend,Sunday,Light_Load
3.42,2.3,0.4,82.98,99.32,Weekday,Tuesday,Light_Load
17.5,7.88,10.73,91.18,85.25,Weekday,Thursday,Medium_Load
3.35,0,18.61,100,17.72,Weekend,Sunday,Light_Load
3.82,4.68,0,63.23,100,Weekday,Wednesday,Light_Load
46.08,14.76,6.19,95.23,99.11,Weekday,Monday,Maximum_Load
3.67,6.52,0,49.05,100,Weekday,Tuesday,Light_Load
57.56,35.35,0,85.21,100,Weekday,Friday,Light_Load
104.51,46.73,0,91.29,100,Weekday,Tuesday,Medium_Load
27.32,27.5,0,70.48,100,Weekday,Friday,Light_Load
5.76,0,25.56,100,21.98,Weekday,Monday,Medium_Load
3.13,6.88,0,41.41,100,Weekend,Sunday,Light_Load
3.24,2.63,0,77.64,100,Weekday,Wednesday,Light_Load
2.59,3.46,0,59.93,100,Weekend,Sunday,Light_Load
3.78,0,22.28,100,16.73,Weekend,Saturday,Medium_Load
63.79,48.38,0,79.68,100,Weekday,Tuesday,Maximum_Load
89.21,41.47,0,90.68,100,Weekday,Friday,Light_Load
2.95,4.93,0,51.35,100,Weekend,Sunday,Light_Load
2.99,4.93,0,51.86,100,Weekday,Tuesday,Light_Load
3.02,3.78,0,62.42,100,Weekday,Monday,Light_Load
3.67,3.85,0,69,100,Weekday,Friday,Light_Load
3.74,3.49,0,73.11,100,Weekday,Monday,Light_Load
2.77,4.5,0,52.42,100,Weekday,Tuesday,Light_Load
40.39,15.48,0,93.38,100,Weekend,Saturday,Maximum_Load
4.14,4.03,0,71.66,100,Weekend,Saturday,Light_Load
72.61,34.96,0,90.1,100,Weekday,Monday,Medium_Load
64.01,32.22,0,89.32,100,Weekday,Wednesday,Maximum_Load
3.42,4.93,0,57,100,Weekday,Tuesday,Light_Load
3.02,2.7,0,74.55,100,Weekend,Saturday,Light_Load
109.3,39.24,0,94.12,100,Weekday,Wednesday,Maximum_Load
3.49,4.75,0,59.21,100,Weekday,Thursday,Light_Load
2.74,5.15,0,46.97,100,Weekday,Thursday,Light_Load
68.62,42.26,0,85.15,100,Weekday,Thursday,Maximum_Load
63.58,34.85,0,87.69,100,Weekday,Friday,Maximum_Load
57.85,29.45,0.14,89.12,100,Weekday,Thursday,Medium_Load
3.89,4.79,0,63.04,100,Weekday,Thursday,Light_Load
4.86,4.43,0,73.9,100,Weekday,Friday,Maximum_Load
65.38,36.32,0,87.42,100,Weekday,Friday,Maximum_Load
11.45,0,11.95,100,69.18,Weekend,Sunday,Maximum_Load
37.87,24.66,0,83.8,100,Weekday,Friday,Medium_Load
86.76,35.06,0,92.72,100,Weekday,Wednesday,Medium_Load
123.16,62.03,0,89.31,100,Weekday,Wednesday,Maximum_Load
2.81,5.47,0,45.69,100,Weekday,Friday,Light_Load
12.28,0.29,11.02,99.97,74.43,Weekday,Monday,Medium_Load
4.18,5.69,0,59.2,100,Weekday,Thursday,Light_Load
2.59,4.14,0,53.04,100,Weekday,Monday,Light_Load
110.88,47.02,0,92.06,100,Weekday,Wednesday,Maximum_Load
5.69,0,20.92,100,26.25,Weekday,Tuesday,Medium_Load
5,0,17.75,100,27.11,Weekday,Monday,Medium_Load
74.45,42.84,0,86.67,100,Weekday,Thursday,Maximum_Load
3.56,5.15,0,56.86,100,Weekday,Thursday,Light_Load
6.84,3.6,0,88.49,100,Weekday,Friday,Light_Load
4.61,0,20.81,100,21.63,Weekend,Saturday,Light_Load
43.49,14.33,0,94.98,100,Weekday,Tuesday,Maximum_Load
33.05,0.14,4.57,100,99.06,Weekend,Saturday,Maximum_Load
3.17,6.8,0,42.25,100,Weekday,Tuesday,Light_Load
2.95,0,16.49,100,17.61,Weekday,Thursday,Light_Load
84.13,33.8,0,92.79,100,Weekday,Wednesday,Maximum_Load
4.43,4.32,0,71.59,100,Weekday,Thursday,Light_Load
2.92,5.44,0,47.29,100,Weekday,Friday,Light_Load
58.28,23.47,0,92.76,100,Weekday,Tuesday,Maximum_Load
4.79,5.4,0,66.36,100,Weekday,Friday,Light_Load
4.21,3.35,0.14,78.25,99.94,Weekday,Tuesday,Light_Load
3.56,7.34,0,43.64,100,Weekend,Saturday,Light_Load
4.28,0,7.45,100,49.81,Weekend,Saturday,Medium_Load
3.13,3.71,0,64.48,100,Weekend,Sunday,Light_Load
3.56,4.1,0,65.56,100,Weekday,Monday,Medium_Load
2.88,5.94,0,43.63,100,Weekday,Tuesday,Light_Load
2.99,5.76,0,46.07,100,Weekday,Thursday,Light_Load
2.92,5.11,0,49.61,100,Weekday,Monday,Light_Load
3.42,0,9.07,100,35.28,Weekend,Sunday,Light_Load
31.9,1.22,3.64,99.93,99.36,Weekday,Friday,Medium_Load
3.6,0,13.07,100,26.56,Weekend,Sunday,Light_Load
49.32,20.38,0,92.42,100,Weekday,Monday,Maximum_Load
50.72,13.32,0,96.72,100,Weekday,Friday,Medium_Load
4.9,0,20.16,100,23.62,Weekend,Saturday,Medium_Load
2.84,0,12.46,100,22.22,Weekend,Sunday,Light_Load
101.27,25.99,0.11,96.86,100,Weekday,Wednesday,Medium_Load
34.88,9.72,0,96.33,100,Weekday,Wednesday,Maximum_Load
77.9,36.4,4.18,90.6,99.86,Weekday,Thursday,Maximum_Load
60.37,14.9,5.22,97.09,99.63,Weekday,Friday,Maximum_Load
63.18,43.49,0,82.37,100,Weekday,Friday,Light_Load
3.2,0,16.74,100,18.78,Weekend,Sunday,Light_Load
6.55,5.72,0,75.32,100,Weekend,Saturday,Light_Load
31.07,23.58,0,79.66,100,Weekday,Wednesday,Light_Load
75.71,9.58,0.97,99.21,99.99,Weekday,Tuesday,Maximum_Load
6.05,5.18,0,75.96,100,Weekend,Saturday,Light_Load
98.71,62.35,0,84.55,100,Weekday,Friday,Light_Load
4.03,0,11.88,100,32.12,Weekday,Tuesday,Medium_Load
5.18,0,26.64,100,19.09,Weekday,Wednesday,Medium_Load
3.42,4.68,0,59,100,Weekday,Thursday,Light_Load
3.49,0,16.88,100,20.25,Weekday,Friday,Light_Load
3.78,4.1,0,67.78,100,Weekend,Saturday,Light_Load
3.31,3.64,0,67.28,100,Weekend,Sunday,Light_Load
3.82,4.97,0,60.94,100,Weekday,Wednesday,Light_Load
3.2,4.54,0,57.61,100,Weekday,Thursday,Light_Load
51.8,31.61,0,85.36,100,Weekday,Wednesday,Medium_Load
4.46,4.82,0,67.92,100,Weekend,Sunday,Light_Load
3.38,2.52,0,80.17,100,Weekend,Saturday,Light_Load
4.97,4.9,0,71.21,100,Weekday,Friday,Light_Load
50.29,4.28,3.06,99.64,99.82,Weekday,Thursday,Maximum_Load
7.92,0,26.32,100,28.81,Weekday,Friday,Medium_Load
58.9,38.12,0,83.95,100,Weekday,Monday,Medium_Load
4.64,4.25,0,73.74,100,Weekday,Tuesday,Light_Load
101.48,23.36,0,97.45,100,Weekday,Friday,Maximum_Load
79.78,21.02,0,96.7,100,Weekend,Saturday,Maximum_Load
26.89,0,11.02,100,92.53,Weekend,Sunday,Medium_Load
79.34,27.97,0,94.31,100,Weekday,Friday,Medium_Load
2.84,5.18,0,48.07,100,Weekend,Sunday,Light_Load
118.48,52.7,0,91.37,100,Weekday,Thursday,Medium_Load
3.42,5.36,0,53.79,100,Weekday,Thursday,Light_Load
11.27,0.61,8.14,99.85,81.07,Weekday,Wednesday,Medium_Load
77.15,42.88,0,87.41,100,Weekday,Thursday,Maximum_Load
63.9,29.09,0,91.01,100,Weekday,Monday,Maximum_Load
3.6,4,0,66.9,100,Weekend,Saturday,Light_Load
3.85,4.93,0,61.55,100,Weekday,Friday,Light_Load
2.77,5.26,0,46.6,100,Weekday,Thursday,Light_Load
63.76,53.6,0,76.55,100,Weekday,Monday,Maximum_Load
3.17,6.12,0,45.99,100,Weekday,Friday,Medium_Load
79.27,37.76,0,90.28,100,Weekday,Friday,Maximum_Load
53.75,29.88,0,87.4,100,Weekday,Wednesday,Maximum_Load
3.38,6.41,0,46.64,100,Weekday,Friday,Light_Load
26.17,23.29,0,74.7,100,Weekend,Saturday,Light_Load
4.03,6.16,0,54.75,100,Weekend,Saturday,Light_Load
2.88,5.44,0,46.79,100,Weekday,Monday,Light_Load
54.68,18.86,0,94.53,100,Weekday,Tuesday,Medium_Load
40.39,32.26,0,78.14,100,Weekend,Sunday,Light_Load
64.26,28.4,0,91.47,100,Weekday,Monday,Medium_Load
65.66,17.68,0,96.56,100,Weekday,Monday,Medium_Load
