Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1.186,0.068,231.360,5.000,0.000,0.000,16.000
1.526,0.062,236.980,6.600,0.000,0.000,0.000
0.318,0.134,244.750,1.400,0.000,0.000,0.000
1.468,0.342,239.340,6.200,0.000,2.000,18.000
0.960,0.234,239.760,4.200,0.000,0.000,0.000
0.256,0.242,241.220,1.600,0.000,0.000,1.000
1.282,0.052,241.010,5.200,0.000,0.000,17.000
2.398,0.296,242.850,9.800,0.000,5.000,18.000
0.504,0.092,239.700,2.000,0.000,0.000,0.000
0.256,0.054,246.100,1.000,0.000,0.000,1.000
1.484,0.342,243.410,7.000,0.000,1.000,0.000
0.238,0.000,240.830,1.000,0.000,0.000,1.000
3.270,0.000,238.410,13.800,0.000,0.000,18.000
0.378,0.346,240.960,2.000,0.000,1.000,0.000
0.194,0.102,237.450,0.800,0.000,1.000,0.000
1.692,0.098,239.940,7.000,0.000,0.000,18.000
0.474,0.230,241.430,2.200,0.000,0.000,0.000
1.246,0.000,242.640,5.000,0.000,0.000,19.000
4.654,0.388,237.640,19.600,38.000,0.000,18.000
0.308,0.000,239.420,1.400,0.000,1.000,0.000
1.454,0.190,240.310,6.000,0.000,0.000,18.000
0.246,0.000,246.200,1.000,0.000,0.000,0.000
0.080,0.000,240.830,0.200,0.000,0.000,1.000
1.392,0.236,238.910,5.800,1.000,0.000,18.000
0.426,0.142,241.220,1.800,0.000,0.000,1.000
1.994,0.154,248.060,8.000,0.000,0.000,19.000
0.410,0.208,242.590,1.800,0.000,1.000,0.000
1.666,0.048,239.900,6.800,0.000,0.000,18.000
0.292,0.098,241.470,1.200,0.000,0.000,0.000
0.212,0.046,241.740,0.800,0.000,0.000,0.000
1.412,0.172,237.130,6.000,0.000,0.000,18.000
0.222,0.000,244.060,1.000,0.000,0.000,0.000
3.556,0.064,237.190,15.000,0.000,36.000,1.000
1.792,0.284,242.650,7.400,0.000,0.000,13.000
3.376,0.170,236.630,14.200,0.000,0.000,29.000
0.212,0.000,239.360,1.000,0.000,0.000,0.000
0.328,0.060,236.930,1.400,0.000,0.000,0.000
0.222,0.112,240.220,1.000,0.000,0.000,0.000
2.518,0.086,239.560,10.800,0.000,1.000,18.000
0.784,0.226,244.740,3.200,0.000,2.000,1.000
0.472,0.104,242.760,2.000,0.000,0.000,0.000
0.908,0.186,239.090,3.800,0.000,0.000,12.000
0.386,0.122,244.600,1.800,0.000,0.000,0.000
1.442,0.074,241.800,5.800,1.000,0.000,18.000
1.618,0.334,240.700,6.800,0.000,1.000,19.000
0.918,0.110,240.970,3.800,0.000,0.000,0.000
1.350,0.106,237.880,5.600,0.000,0.000,18.000
0.106,0.000,235.600,0.400,0.000,0.000,0.000
0.358,0.118,243.580,1.400,0.000,0.000,1.000
0.420,0.230,240.690,2.000,0.000,1.000,1.000
1.622,0.344,239.930,6.800,0.000,2.000,19.000
0.526,0.074,238.610,2.200,1.000,0.000,0.000
0.298,0.092,245.580,1.200,0.000,2.000,0.000
0.284,0.000,244.700,1.200,0.000,1.000,1.000
0.234,0.130,239.680,1.000,0.000,0.000,0.000
0.378,0.234,244.510,1.800,0.000,1.000,0.000
0.934,0.184,232.690,4.200,0.000,0.000,0.000
0.266,0.228,239.970,1.400,0.000,1.000,0.000
0.296,0.130,240.140,1.400,0.000,0.000,0.000
0.238,0.074,238.950,1.200,0.000,1.000,0.000
2.114,0.396,243.760,8.800,2.000,2.000,19.000
0.308,0.000,243.660,1.400,0.000,0.000,0.000
0.814,0.128,239.630,3.400,0.000,0.000,12.000
1.294,0.046,237.940,5.400,0.000,0.000,17.000
0.222,0.000,244.140,1.000,0.000,0.000,0.000
2.822,0.550,239.860,12.800,14.000,0.000,18.000
0.238,0.106,243.660,1.000,0.000,0.000,1.000
1.502,0.172,244.240,6.200,0.000,1.000,19.000
0.370,0.054,243.120,1.800,0.000,0.000,0.000
0.194,0.054,242.400,0.800,1.000,0.000,1.000
1.198,0.118,238.870,5.000,0.000,0.000,0.000
0.126,0.000,242.450,0.400,0.000,0.000,0.000
0.332,0.204,242.330,1.600,0.000,1.000,1.000
1.022,0.336,240.120,4.400,0.000,1.000,12.000
0.290,0.114,239.540,1.200,0.000,0.000,1.000
1.678,0.188,238.330,7.000,0.000,0.000,18.000
1.294,0.000,239.720,5.400,0.000,0.000,17.000
1.034,0.270,242.970,4.400,0.000,0.000,0.000
1.198,0.080,232.330,5.000,1.000,0.000,0.000
1.346,0.086,238.260,5.600,0.000,2.000,17.000
1.968,0.318,236.060,8.400,0.000,2.000,17.000
0.220,0.000,241.540,1.000,0.000,0.000,0.000
0.172,0.146,238.370,0.800,0.000,0.000,1.000
2.290,0.272,238.840,9.600,0.000,1.000,18.000
0.320,0.074,243.660,1.400,0.000,0.000,0.000
3.298,0.132,233.920,14.200,0.000,28.000,0.000
0.318,0.088,242.180,1.400,0.000,0.000,0.000
1.452,0.056,243.390,5.800,0.000,0.000,19.000
2.488,0.060,236.760,10.600,0.000,34.000,1.000
4.072,0.296,237.860,17.400,0.000,0.000,17.000
0.982,0.124,241.030,4.000,0.000,0.000,0.000
4.074,0.080,240.100,16.800,38.000,2.000,18.000
0.264,0.000,244.690,1.200,0.000,0.000,0.000
0.660,0.236,241.150,3.000,0.000,0.000,1.000
0.340,0.132,242.990,1.400,2.000,1.000,1.000
0.314,0.100,240.800,1.400,0.000,0.000,0.000
0.086,0.000,246.490,0.200,0.000,0.000,1.000
1.654,0.108,239.670,6.800,0.000,0.000,17.000
5.268,0.078,236.200,22.400,37.000,0.000,17.000
0.082,0.000,242.660,0.200,0.000,0.000,0.000
0.328,0.056,242.580,1.400,0.000,1.000,0.000
0.378,0.086,243.330,1.800,0.000,1.000,1.000
0.244,0.134,241.890,1.200,0.000,0.000,1.000
0.354,0.064,239.900,1.800,0.000,0.000,0.000
0.534,0.224,236.810,2.400,0.000,2.000,0.000
0.302,0.056,248.360,1.200,0.000,0.000,0.000
0.332,0.074,241.880,1.400,0.000,0.000,1.000
0.362,0.000,244.980,1.400,0.000,0.000,0.000
0.260,0.000,244.290,1.000,0.000,0.000,0.000
0.790,0.230,242.940,3.400,0.000,0.000,1.000
3.794,0.132,240.530,16.400,1.000,56.000,1.000
0.390,0.178,243.480,1.800,0.000,1.000,0.000
1.334,0.198,236.720,5.600,0.000,0.000,18.000
1.466,0.174,240.910,6.000,0.000,0.000,0.000
1.222,0.000,241.470,5.000,0.000,0.000,0.000
0.410,0.242,240.290,2.000,0.000,1.000,0.000
5.058,0.226,226.730,22.600,1.000,27.000,16.000
0.472,0.248,244.070,2.200,0.000,0.000,1.000
0.138,0.000,241.500,0.600,0.000,0.000,0.000
0.302,0.238,242.840,1.600,0.000,2.000,1.000
0.252,0.000,244.160,1.200,0.000,0.000,0.000
0.312,0.106,242.060,1.400,0.000,0.000,0.000
1.512,0.230,242.510,6.200,0.000,2.000,18.000
0.246,0.148,240.970,1.200,0.000,0.000,0.000
1.232,0.000,235.670,5.200,0.000,0.000,17.000
1.526,0.082,241.780,6.200,0.000,0.000,18.000
3.278,0.140,237.130,14.000,0.000,0.000,17.000
4.032,0.402,236.450,17.000,38.000,2.000,18.000
3.658,0.000,239.320,15.200,0.000,0.000,0.000
0.292,0.210,241.540,1.400,0.000,2.000,0.000
0.212,0.000,241.480,0.800,0.000,0.000,0.000
1.384,0.000,243.770,5.600,0.000,0.000,18.000
1.622,0.262,239.890,6.800,0.000,1.000,19.000
0.236,0.112,238.260,1.000,0.000,0.000,1.000
1.424,0.200,236.910,6.000,0.000,2.000,18.000
1.396,0.094,239.580,5.800,0.000,0.000,18.000
0.272,0.102,242.430,1.200,0.000,0.000,0.000
0.330,0.000,243.430,1.400,0.000,0.000,0.000
0.822,0.200,247.530,3.400,0.000,1.000,1.000
0.260,0.114,240.180,1.200,0.000,0.000,0.000
0.476,0.210,243.310,2.200,0.000,2.000,0.000
0.336,0.200,240.120,1.600,0.000,0.000,1.000
1.496,0.086,241.270,6.200,0.000,0.000,18.000
1.178,0.076,238.480,4.800,0.000,0.000,1.000
1.356,0.000,237.030,5.800,0.000,0.000,0.000
3.428,0.154,238.050,14.600,0.000,38.000,10.000
0.254,0.000,245.180,1.000,0.000,0.000,0.000
0.252,0.260,237.370,1.400,0.000,2.000,1.000
0.322,0.140,244.890,1.400,0.000,0.000,0.000
1.790,0.268,239.680,7.400,0.000,6.000,18.000
0.438,0.088,246.380,1.800,0.000,0.000,0.000
0.278,0.094,242.430,1.200,0.000,0.000,0.000
0.232,0.000,243.650,1.000,0.000,0.000,0.000
0.266,0.222,237.450,1.400,0.000,0.000,0.000
1.878,0.000,239.340,7.800,0.000,0.000,17.000
1.734,0.154,242.990,7.200,0.000,1.000,23.000
0.282,0.072,242.940,1.200,0.000,0.000,1.000
0.302,0.192,243.470,1.400,0.000,2.000,1.000
1.328,0.330,244.400,5.600,0.000,0.000,0.000
1.712,0.258,238.300,7.200,1.000,1.000,0.000
0.176,0.152,240.920,0.800,0.000,0.000,1.000
0.176,0.000,242.830,0.800,0.000,0.000,1.000
2.318,0.156,239.520,9.800,0.000,1.000,18.000
0.372,0.070,246.300,1.600,0.000,1.000,0.000
2.154,0.056,239.720,9.000,0.000,0.000,19.000
0.264,0.140,241.230,1.200,0.000,0.000,0.000
0.354,0.110,240.560,1.400,0.000,0.000,0.000
1.348,0.116,242.710,5.600,0.000,0.000,19.000
0.242,0.000,247.040,1.000,0.000,0.000,0.000
1.324,0.050,239.730,5.400,0.000,0.000,18.000
0.320,0.000,243.870,1.400,0.000,0.000,0.000
2.290,0.074,240.210,9.400,0.000,0.000,19.000
0.434,0.156,243.860,1.800,0.000,1.000,0.000
0.284,0.000,239.830,1.200,0.000,0.000,0.000
0.272,0.000,246.420,1.200,0.000,1.000,0.000
1.094,0.000,245.170,4.400,0.000,0.000,0.000
2.756,0.542,232.860,12.000,0.000,2.000,10.000
1.262,0.186,237.380,5.400,0.000,0.000,0.000
1.898,0.170,234.930,8.000,0.000,1.000,17.000
1.468,0.106,246.110,5.800,0.000,0.000,19.000
0.218,0.000,248.660,0.800,0.000,0.000,0.000
2.070,0.376,240.100,8.600,0.000,0.000,27.000
0.504,0.098,242.490,2.000,0.000,0.000,1.000
1.950,0.232,237.420,8.200,0.000,0.000,0.000
0.080,0.000,240.880,0.200,0.000,0.000,0.000
7.044,0.218,233.310,30.200,73.000,4.000,17.000
1.386,0.000,244.440,5.600,0.000,0.000,18.000
0.250,0.106,240.370,1.000,0.000,1.000,1.000
3.036,0.150,238.220,12.600,0.000,1.000,18.000
0.596,0.340,240.160,3.000,0.000,2.000,1.000
0.224,0.000,244.540,1.000,0.000,0.000,0.000
0.446,0.000,243.690,1.800,0.000,0.000,1.000
0.584,0.346,239.650,3.000,0.000,1.000,1.000
0.338,0.248,241.940,1.600,0.000,1.000,1.000
0.244,0.122,241.640,1.000,0.000,0.000,1.000
4.036,0.000,239.100,16.800,0.000,38.000,18.000
2.210,0.374,239.860,9.600,0.000,28.000,0.000
0.366,0.140,243.100,1.600,0.000,0.000,1.000
0.574,0.376,242.940,3.200,0.000,2.000,1.000
4.906,0.000,234.660,21.000,36.000,22.000,0.000
2.206,0.104,243.950,9.000,0.000,0.000,19.000
0.154,0.118,239.060,0.800,0.000,0.000,1.000
0.350,0.124,242.810,1.400,0.000,0.000,0.000
3.384,0.244,236.130,14.600,1.000,2.000,18.000
0.288,0.000,241.030,1.200,2.000,0.000,0.000
1.164,0.000,242.870,5.400,0.000,14.000,0.000
0.220,0.000,236.660,1.000,0.000,0.000,0.000
1.854,0.396,240.600,7.800,1.000,2.000,18.000
0.212,0.092,240.030,1.000,0.000,0.000,1.000
2.284,0.444,239.010,9.800,0.000,0.000,0.000
1.488,0.266,239.130,6.200,0.000,0.000,18.000
1.488,0.214,239.640,6.200,0.000,1.000,18.000
0.624,0.392,243.940,3.000,0.000,1.000,0.000
4.294,0.640,236.240,18.400,1.000,1.000,17.000
1.838,0.120,241.300,7.600,0.000,2.000,18.000
1.536,0.194,239.160,6.400,0.000,1.000,17.000
0.316,0.160,242.690,1.400,0.000,1.000,0.000
1.274,0.070,241.940,5.200,0.000,0.000,18.000
1.230,0.066,240.210,5.000,0.000,0.000,19.000
0.570,0.370,244.030,2.800,1.000,1.000,1.000
0.184,0.154,241.330,1.000,0.000,0.000,1.000
0.104,0.000,237.580,0.400,0.000,0.000,0.000
0.370,0.238,242.610,1.800,0.000,2.000,1.000
0.188,0.082,236.650,0.800,0.000,1.000,0.000
0.632,0.412,240.270,3.400,0.000,0.000,3.000
0.304,0.000,241.380,1.200,0.000,1.000,0.000
0.102,0.000,237.190,0.400,0.000,0.000,0.000
4.716,0.610,235.820,20.000,0.000,1.000,17.000
0.208,0.096,239.660,1.000,0.000,2.000,0.000
2.386,0.276,234.340,10.200,0.000,0.000,17.000
2.100,0.106,238.290,8.800,1.000,0.000,18.000
0.344,0.104,242.670,1.400,0.000,0.000,0.000
0.552,0.104,241.650,2.400,0.000,0.000,1.000
0.286,0.148,240.710,1.400,0.000,1.000,0.000
0.262,0.000,242.100,1.000,0.000,0.000,0.000
1.502,0.266,237.830,6.400,0.000,0.000,8.000
0.262,0.068,242.630,1.200,0.000,0.000,0.000
0.476,0.070,243.620,2.400,0.000,0.000,6.000
1.856,0.134,241.560,7.600,0.000,0.000,29.000
1.702,0.092,234.000,7.200,0.000,1.000,0.000
1.194,0.000,237.040,5.000,0.000,0.000,0.000
0.214,0.078,237.970,1.000,0.000,0.000,1.000
0.318,0.098,240.970,1.600,0.000,1.000,0.000
2.420,0.000,244.560,9.800,1.000,0.000,19.000
3.850,0.070,241.720,15.800,39.000,0.000,18.000
1.458,0.000,240.620,6.000,0.000,0.000,18.000
6.196,0.302,232.600,26.800,0.000,35.000,16.000
0.226,0.132,240.550,1.000,0.000,2.000,0.000
0.286,0.100,244.600,1.200,0.000,0.000,0.000
0.316,0.080,235.220,1.400,0.000,0.000,0.000
1.048,0.124,235.240,4.600,0.000,1.000,0.000
1.312,0.000,242.100,5.400,0.000,0.000,18.000
2.212,0.126,241.820,9.600,0.000,1.000,0.000
1.522,0.000,236.580,6.600,0.000,0.000,17.000
0.194,0.092,237.080,0.800,0.000,0.000,0.000
0.714,0.276,242.440,3.000,1.000,0.000,1.000
0.334,0.224,241.600,1.600,0.000,0.000,1.000
0.378,0.050,241.220,1.600,0.000,0.000,0.000
2.048,0.096,242.620,9.400,30.000,0.000,1.000
1.434,0.084,244.910,5.800,0.000,0.000,19.000
2.072,0.174,240.240,8.600,1.000,1.000,24.000
1.546,0.096,244.070,6.200,0.000,0.000,19.000
0.240,0.000,244.220,1.000,0.000,0.000,0.000
1.414,0.080,243.430,5.800,0.000,0.000,19.000
0.248,0.056,241.920,1.000,0.000,0.000,1.000
1.910,0.092,245.050,7.800,0.000,0.000,19.000
0.322,0.248,240.360,1.600,0.000,1.000,1.000
0.786,0.238,242.430,3.400,0.000,1.000,0.000
0.298,0.000,240.740,1.400,0.000,1.000,0.000
1.778,0.106,245.050,7.200,0.000,0.000,18.000
0.276,0.000,243.160,1.200,0.000,0.000,1.000
0.234,0.090,240.900,1.000,0.000,0.000,1.000
1.506,0.130,241.090,6.200,0.000,0.000,18.000
1.798,0.124,242.040,7.400,0.000,0.000,18.000
0.250,0.000,235.920,1.000,0.000,0.000,0.000
4.204,0.080,237.820,17.600,0.000,0.000,17.000
0.364,0.138,241.410,1.600,0.000,0.000,0.000
1.464,0.066,242.040,6.000,0.000,0.000,18.000
1.546,0.330,239.540,6.600,0.000,1.000,18.000
1.638,0.048,238.010,6.800,0.000,0.000,17.000
0.610,0.060,243.050,2.400,0.000,0.000,1.000
0.282,0.000,240.760,1.200,0.000,0.000,0.000
1.798,0.000,235.130,7.600,0.000,1.000,17.000
0.220,0.122,238.790,1.000,0.000,0.000,0.000
1.462,0.096,243.090,6.000,0.000,0.000,19.000
4.008,0.172,237.120,16.800,37.000,0.000,18.000
1.746,0.088,241.690,7.200,0.000,1.000,18.000
0.276,0.228,240.390,1.400,0.000,0.000,0.000
0.362,0.124,244.310,1.600,0.000,0.000,0.000
2.948,0.084,239.970,12.200,1.000,0.000,18.000
1.506,0.332,239.270,6.400,0.000,1.000,18.000
2.242,0.074,237.070,9.400,0.000,0.000,18.000
1.466,0.350,240.140,6.200,0.000,2.000,18.000
0.254,0.118,241.000,1.200,0.000,0.000,1.000
0.238,0.066,241.200,1.000,0.000,1.000,1.000
1.576,0.168,238.180,6.600,0.000,0.000,0.000
0.252,0.114,243.660,1.000,0.000,1.000,1.000
0.256,0.000,243.600,1.200,0.000,0.000,0.000
0.726,0.060,240.790,3.000,0.000,0.000,1.000
0.254,0.000,243.890,1.000,0.000,0.000,1.000
2.284,0.058,240.780,9.400,0.000,0.000,18.000
0.922,0.224,240.720,3.800,0.000,2.000,11.000
0.454,0.088,240.330,1.800,0.000,0.000,0.000
0.344,0.052,241.850,1.400,0.000,0.000,0.000
1.192,0.000,236.560,5.000,0.000,0.000,18.000
1.518,0.000,241.340,6.200,1.000,0.000,1.000
1.384,0.062,240.040,5.600,0.000,2.000,18.000
0.510,0.110,244.740,2.000,0.000,0.000,1.000
1.656,0.146,236.960,7.000,0.000,0.000,17.000
1.220,0.354,241.830,5.200,0.000,2.000,0.000
1.324,0.000,242.190,5.400,0.000,0.000,18.000
0.172,0.138,239.860,0.800,0.000,0.000,0.000
0.338,0.132,245.100,1.400,0.000,0.000,0.000
0.258,0.000,235.340,1.200,0.000,0.000,0.000
2.592,0.046,241.190,10.600,0.000,0.000,19.000
0.226,0.000,236.830,1.000,0.000,0.000,0.000
0.258,0.050,241.050,1.200,0.000,0.000,1.000
0.106,0.000,241.060,0.400,0.000,0.000,0.000
0.448,0.106,241.480,1.800,0.000,2.000,0.000
1.408,0.092,237.450,5.800,1.000,0.000,17.000
0.418,0.066,244.820,1.800,0.000,0.000,0.000
1.210,0.000,241.770,5.000,0.000,0.000,0.000
1.886,0.192,241.640,7.800,0.000,2.000,17.000
1.662,0.082,240.920,6.800,0.000,0.000,18.000
0.360,0.000,241.780,1.400,0.000,0.000,1.000
0.404,0.314,240.140,2.000,0.000,1.000,0.000
2.278,0.000,237.530,9.600,1.000,0.000,17.000
0.320,0.080,240.110,1.400,0.000,0.000,0.000
1.606,0.178,239.110,6.600,0.000,0.000,18.000
3.554,0.168,237.540,14.800,38.000,0.000,17.000
1.284,0.118,242.750,5.200,0.000,0.000,1.000
0.668,0.206,241.800,2.800,0.000,0.000,0.000
0.462,0.218,241.770,2.200,0.000,0.000,0.000
1.602,0.332,238.440,6.800,1.000,1.000,1.000
0.308,0.228,238.310,1.600,0.000,0.000,0.000
1.056,0.070,242.350,4.400,1.000,0.000,1.000
1.600,0.090,248.090,6.400,0.000,0.000,19.000
1.882,0.058,239.010,7.800,0.000,0.000,0.000
0.282,0.090,234.320,1.200,0.000,1.000,0.000
0.420,0.096,241.480,1.800,0.000,0.000,1.000
1.380,0.082,241.070,5.600,0.000,0.000,18.000
1.406,0.170,239.980,5.800,0.000,1.000,18.000
0.388,0.158,237.390,1.800,0.000,0.000,0.000
5.024,0.000,233.640,21.400,36.000,0.000,27.000
0.338,0.208,239.550,1.600,0.000,1.000,1.000
0.108,0.000,240.230,0.400,0.000,0.000,0.000
0.158,0.000,242.010,0.600,0.000,0.000,1.000
0.762,0.090,242.420,3.000,0.000,0.000,0.000
1.756,0.000,236.440,7.400,0.000,0.000,18.000
0.442,0.204,248.130,2.000,0.000,0.000,0.000
0.364,0.098,241.970,1.600,0.000,0.000,0.000
1.756,0.058,243.530,7.200,0.000,3.000,18.000
0.122,0.000,241.700,0.600,0.000,0.000,0.000
1.900,0.192,239.640,7.800,0.000,1.000,0.000
1.816,0.380,240.900,7.600,0.000,3.000,19.000
1.434,0.056,240.390,6.000,0.000,1.000,18.000
0.222,0.108,239.960,1.000,0.000,0.000,0.000
1.540,0.176,242.970,6.400,0.000,1.000,18.000
0.226,0.000,245.340,1.000,0.000,0.000,0.000
3.206,0.228,238.950,13.400,0.000,3.000,17.000
0.378,0.202,244.660,1.600,0.000,1.000,0.000
1.052,0.418,238.940,4.600,0.000,0.000,12.000
1.730,0.068,245.130,7.000,0.000,0.000,19.000
0.348,0.000,231.420,1.800,0.000,0.000,0.000
0.360,0.078,242.750,1.400,0.000,0.000,1.000
1.382,0.056,244.280,5.600,0.000,0.000,19.000
2.580,0.306,238.680,10.800,0.000,1.000,18.000
0.246,0.000,245.510,1.000,0.000,0.000,0.000
1.698,0.276,238.760,7.200,0.000,1.000,17.000
4.218,0.364,235.580,17.800,0.000,37.000,17.000
2.318,0.334,239.260,9.800,0.000,0.000,30.000
1.716,0.316,236.790,7.400,0.000,0.000,10.000
1.550,0.104,238.980,6.600,0.000,0.000,19.000
0.668,0.090,242.380,2.800,0.000,1.000,0.000
0.434,0.252,244.360,2.000,0.000,0.000,0.000
0.322,0.218,241.060,1.600,0.000,0.000,1.000
1.026,0.092,239.350,4.400,0.000,0.000,12.000
0.908,0.000,241.270,3.600,0.000,0.000,0.000
0.266,0.122,239.730,1.200,0.000,0.000,1.000
0.780,0.068,241.210,3.200,0.000,0.000,0.000
0.420,0.252,244.620,2.000,0.000,1.000,1.000
1.252,0.070,241.010,5.200,0.000,0.000,0.000
0.292,0.204,232.470,1.400,0.000,1.000,0.000
0.786,0.054,242.940,3.200,0.000,0.000,1.000
0.224,0.062,240.870,1.000,0.000,0.000,0.000
1.334,0.066,239.880,5.400,0.000,0.000,19.000
0.678,0.212,238.980,3.000,0.000,1.000,1.000
1.702,0.362,240.910,7.200,1.000,2.000,18.000
0.218,0.000,234.220,1.000,0.000,0.000,0.000
0.120,0.000,242.860,0.600,0.000,0.000,0.000
0.408,0.176,240.830,1.800,0.000,1.000,1.000
1.748,0.056,237.830,7.200,0.000,2.000,17.000
0.538,0.090,236.930,2.200,0.000,0.000,0.000
2.520,0.216,235.240,10.800,0.000,0.000,18.000
0.238,0.000,243.060,1.000,0.000,0.000,0.000
0.326,0.104,244.230,1.400,0.000,0.000,0.000
1.068,0.108,242.090,4.400,0.000,2.000,1.000
0.258,0.000,247.780,1.000,0.000,0.000,0.000
0.712,0.278,242.270,3.200,0.000,1.000,1.000
0.248,0.000,246.290,1.000,0.000,0.000,1.000
0.408,0.242,246.330,1.800,0.000,1.000,1.000
0.314,0.090,244.020,1.200,0.000,2.000,1.000
1.138,0.138,240.490,4.800,0.000,1.000,0.000
1.702,0.200,246.690,6.800,0.000,0.000,18.000
0.420,0.368,246.560,2.200,0.000,1.000,1.000
4.658,0.114,236.310,19.600,37.000,1.000,1.000
3.648,0.100,237.970,15.400,0.000,33.000,18.000
0.924,0.116,244.780,3.800,0.000,0.000,0.000
1.480,0.144,242.240,6.000,0.000,1.000,0.000
1.286,0.110,239.020,5.400,0.000,0.000,18.000
0.354,0.104,239.270,1.400,0.000,0.000,0.000
2.680,0.000,236.160,11.200,0.000,0.000,18.000
0.234,0.086,241.530,1.000,0.000,0.000,1.000
0.266,0.000,245.450,1.000,0.000,0.000,1.000
1.362,0.090,237.650,5.600,0.000,0.000,18.000
1.934,0.000,243.650,7.800,0.000,0.000,19.000
2.848,0.054,239.670,11.800,1.000,0.000,18.000
0.226,0.000,240.680,1.000,0.000,0.000,0.000
0.386,0.384,244.120,2.200,0.000,1.000,1.000
1.694,0.164,239.380,7.000,0.000,0.000,0.000
0.410,0.080,241.230,1.800,0.000,0.000,1.000
0.230,0.136,243.340,1.000,0.000,0.000,1.000
0.286,0.126,243.740,1.200,0.000,0.000,1.000
1.420,0.106,240.180,5.800,0.000,0.000,18.000
0.124,0.000,241.930,0.800,0.000,0.000,0.000
0.396,0.084,243.010,1.800,0.000,0.000,0.000
0.252,0.000,242.130,1.200,0.000,0.000,0.000
0.238,0.000,239.920,1.000,0.000,0.000,0.000
0.268,0.216,238.750,1.400,0.000,1.000,0.000
1.260,0.000,243.120,5.200,0.000,0.000,19.000
0.382,0.072,241.590,1.600,0.000,2.000,1.000
0.360,0.096,243.810,1.600,0.000,0.000,0.000
1.456,0.000,238.620,6.000,0.000,0.000,18.000
0.214,0.080,239.250,1.000,0.000,0.000,1.000
0.186,0.000,242.480,0.800,0.000,0.000,1.000
1.478,0.228,241.480,6.200,0.000,0.000,18.000
1.220,0.258,239.580,5.200,0.000,1.000,11.000
3.308,0.086,233.060,14.600,12.000,36.000,0.000
1.302,0.084,239.820,5.400,0.000,2.000,18.000
3.574,0.096,235.890,15.000,0.000,0.000,17.000
1.538,0.308,240.500,6.400,0.000,1.000,18.000
0.224,0.000,244.030,0.800,0.000,0.000,0.000
0.376,0.374,243.500,2.200,0.000,1.000,1.000
0.284,0.046,243.030,1.200,0.000,0.000,0.000
0.216,0.000,242.680,0.800,0.000,0.000,0.000
1.694,0.128,243.440,7.000,0.000,0.000,19.000
1.964,0.154,239.720,8.200,1.000,0.000,27.000
2.526,0.046,241.120,10.400,0.000,2.000,18.000
0.330,0.134,241.710,1.400,0.000,0.000,0.000
2.006,0.052,240.780,8.200,0.000,1.000,19.000
0.314,0.236,240.270,1.600,0.000,1.000,1.000
0.284,0.000,249.120,1.200,0.000,0.000,1.000
0.228,0.000,245.840,1.000,0.000,0.000,0.000
0.408,0.220,241.930,1.800,0.000,1.000,0.000
1.396,0.094,240.010,5.800,0.000,0.000,17.000
1.206,0.000,240.420,5.000,0.000,0.000,0.000
1.474,0.222,240.140,6.200,0.000,1.000,19.000
0.258,0.000,242.380,1.000,0.000,0.000,1.000
0.138,0.000,244.280,0.600,0.000,0.000,0.000
1.390,0.046,238.590,5.800,0.000,1.000,18.000
3.342,0.088,235.580,14.200,0.000,0.000,17.000
1.284,0.082,239.040,5.200,0.000,0.000,19.000
0.872,0.086,239.020,3.600,0.000,0.000,11.000
0.418,0.170,244.970,1.800,0.000,1.000,1.000
1.522,0.088,236.790,6.400,0.000,0.000,0.000
1.760,0.062,238.730,7.400,0.000,1.000,18.000
2.266,0.076,236.280,9.600,0.000,1.000,18.000
1.958,0.090,235.680,8.400,0.000,0.000,18.000
0.232,0.048,245.630,1.000,0.000,0.000,0.000
2.614,0.472,240.260,12.000,24.000,1.000,0.000
3.872,0.046,225.960,17.000,34.000,0.000,16.000
2.200,0.000,239.340,9.200,2.000,0.000,17.000
0.150,0.000,241.870,0.600,0.000,0.000,1.000
1.474,0.320,238.660,6.200,0.000,1.000,19.000
1.394,0.084,244.460,5.600,0.000,0.000,18.000
1.462,0.086,238.330,6.000,0.000,0.000,18.000
1.856,0.396,240.780,8.000,0.000,0.000,10.000
1.322,0.148,240.290,5.400,0.000,4.000,0.000
0.212,0.000,241.120,1.000,0.000,0.000,1.000
0.282,0.000,242.970,1.200,0.000,0.000,0.000
0.428,0.050,243.220,1.800,0.000,0.000,0.000
0.308,0.000,240.110,1.200,0.000,0.000,0.000
1.492,0.046,237.960,6.200,0.000,0.000,18.000
0.278,0.102,241.390,1.200,0.000,0.000,1.000
0.888,0.184,243.290,3.800,0.000,0.000,12.000
0.264,0.000,244.670,1.000,0.000,0.000,1.000
0.436,0.056,244.640,1.800,0.000,0.000,0.000
0.996,0.328,242.010,4.200,0.000,2.000,1.000
1.594,0.360,243.560,6.800,0.000,0.000,1.000
1.974,0.260,234.810,8.400,1.000,2.000,17.000
0.294,0.058,249.140,1.200,0.000,0.000,0.000
0.322,0.104,240.330,1.600,0.000,0.000,0.000
0.286,0.056,240.970,1.200,0.000,0.000,0.000
0.964,0.160,242.650,4.000,0.000,2.000,1.000
0.618,0.072,239.580,2.600,0.000,1.000,1.000
0.744,0.344,242.130,3.400,0.000,1.000,0.000
0.796,0.188,240.080,3.400,0.000,0.000,0.000
0.216,0.000,246.450,0.800,0.000,0.000,0.000
